,belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,title,vote_average,vote_count,year,day,month,cast,cast_size,crew_size,director
8174,,31000000.0,"['Comedy', 'Romance']",,en,14.224013000000001,['Universal Pictures'],"['France', 'United Kingdom']",98.0,1,Wimbledon,6.0,303.0,2004.0,Mon,Sep,"['Kirsten Dunst', 'Paul Bettany', 'Sam Neill', 'James McAvoy', 'Bernard Hill', 'Austin Nichols', 'Jon Favreau', 'Nikolaj Coster-Waldau', 'Celia Imrie', 'John McEnroe']",10,12,Richard Loncraine
8178,,42000000.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller']",,en,6.40146,"['Revolution Studios', 'Jinks/Cohen Company', 'Visual Arts Entertainment']",['United States of America'],91.0,1,The Forgotten,5.5,359.0,2004.0,Fri,Sep,"['Julianne Moore', 'Anthony Edwards', 'Jessica Hecht', 'Christopher Kovaleski', 'Dominic West', 'Tim Kang', 'Gary Sinise', 'Lee Tergesen', 'Robert Wisdom', 'Kathryn Faughnan', 'Alfre Woodard', 'Susan Misner']",12,66,Joseph Ruben
8180,,15000000.0,['Comedy'],http://www.newline.com/properties/dirtyshamea.html,en,7.665431,"['Fine Line Features', 'Killer Films', 'John Wells Productions', 'This Is That Productions']",['United States of America'],89.0,1,A Dirty Shame,5.4,65.0,2004.0,Sun,Sep,"['Tracey Ullman', 'Johnny Knoxville', 'Selma Blair', 'Chris Isaak', 'Suzanne Shepherd', 'Mink Stole', 'Patricia Hearst', 'Jackie Hoffman', 'Nicholas E.I. Noble', 'Lucy Newman-Williams', 'Scott Morgan', 'Wes Johnson', 'David A. Dunham', 'David Moretti', 'Jeffrey Auerbach', 'David Hasselhoff', 'James Ransone']",17,10,John Waters
8182,,4000000.0,"['Horror', 'Comedy']",,en,14.902948,"['Universal Pictures', 'Big Talk Productions', 'StudioCanal', 'Film4', 'Working Title Films', 'WT2 Productions', 'De Wolfe Music', 'Inside Track 2']","['United Kingdom', 'United States of America', 'France']",99.0,1,Shaun of the Dead,7.5,2479.0,2004.0,Fri,Apr,"['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis', 'Dylan Moran', 'Peter Serafinowicz', 'Rafe Spall', 'Penelope Wilton', 'Bill Nighy', 'Reece Shearsmith', 'Jessica Hynes', 'Martin Freeman', 'Tamsin Greig', 'Steve Emerson', 'Nicola Cunningham', 'Arvind Doshi', 'Stuart Powell', 'Matt Lucas', 'Chris Martin', 'Mark Donovan', 'Trisha Goddard', 'Jeremy Thompson']",22,17,Edgar Wright
8189,,2000000.0,"['Drama', 'Music', 'Romance']",,en,0.632261,['Twentieth Century Fox Film Corporation'],['United States of America'],106.0,1,Alexander's Ragtime Band,4.8,6.0,1938.0,Tue,May,"['Tyrone Power', 'Alice Faye', 'Don Ameche', 'Ethel Merman', 'Jack Haley', 'Jean Hersholt', 'Helen Westley', 'John Carradine', 'Paul Hurst', 'Wally Vernon', 'Ruth Terry', 'Douglas Fowley', 'Chick Chandler', 'Eddie Collins', 'Joseph Crehan', 'Charles Williams', 'Robert Gleckler', 'Dixie Dunbar', 'Joe King', 'Charles Coleman', 'Stanley Andrews', 'Selmer Jackson', 'A.S. Byron', 'Lon Chaney Jr.', 'James Flavin', 'Eddie Hall', ""Frank O'Connor"", 'Marjorie Woodworth']",28,11,Henry King
8202,,6000000.0,"['Drama', 'Adventure', 'Horror']",,en,5.2534529999999995,['Dino de Laurentiis Cinematografica'],['United States of America'],92.0,1,Orca: The Killer Whale,5.5,69.0,1977.0,Fri,Jul,"['Richard Harris', 'Charlotte Rampling', 'Will Sampson', 'Bo Derek', 'Keenan Wynn', 'Robert Carradine', 'Scott Walker', 'Peter Hooten', 'Wayne Heffley', 'Vincent Gentile', 'Don Barry']",11,12,Michael Anderson
8213,,47000000.0,"['Action', 'Adventure', 'Drama', 'History']",,en,11.618792,"['Paramount Pictures', 'Gaumont', 'France 3 Cinéma', 'ABC Pictures', 'Légende Entreprises', 'Due West', 'Cyrkfilms', 'Ministère de la Culture', 'Spanish Ministry of Culture']","['France', 'Costa Rica', 'Spain', 'United Kingdom', 'United States of America']",154.0,1,1492: Conquest of Paradise,6.1,180.0,1992.0,Fri,Oct,"['Gérard Depardieu', 'Armand Assante', 'Sigourney Weaver', 'Loren Dean', 'Ángela Molina', 'Fernando Rey', 'Michael Wincott', 'Kevin Dunn', 'Tchéky Karyo', 'Frank Langella', 'Mark Margolis', 'Arnold Vosloo', 'Steven Waddington', 'Fernando Guillén Cuervo', 'Juan Diego Botto', 'Fernando García Rimada', 'Albert Vidal', 'José Luis Ferrer']",18,58,Ridley Scott
8215,,75000000.0,"['Animation', 'Action', 'Comedy', 'Family']",,en,17.999273000000002,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']",['United States of America'],90.0,1,Shark Tale,5.8,1612.0,2004.0,Mon,Sep,"['Will Smith', 'Robert De Niro', 'Renée Zellweger', 'Jack Black', 'Angelina Jolie', 'Ziggy Marley', 'Martin Scorsese', 'David P. Smith', 'Doug E. Doug', 'Michael Imperioli', 'Vincent Pastore', 'Peter Falk', 'Katie Couric', 'Frank Vincent', 'Missy Elliott', 'Christina Aguilera']",16,76,Vicky Jenson
8216,,60000000.0,"['Drama', 'Action', 'Thriller']",,en,7.650411,"['Casey Silver Productions', 'Beacon Communications', 'Touchstone Pictures', 'Beacon Pictures', 'Fantail Films Inc.']",['United States of America'],115.0,1,Ladder 49,6.2,213.0,2004.0,Fri,Oct,"['Joaquin Phoenix', 'John Travolta', 'Jacinda Barrett', 'Robert Patrick', 'Моррис Честнат', 'Billy Burke', 'Kevin Chapman', 'Jay Hernandez', 'Kevin Daniels', 'Balthazar Getty']",10,101,Jay Russell
8219,,15000000.0,"['Music', 'Drama', 'Romance']",http://www.newline.com/properties/raiseyourvoice.html,en,4.387004,"['New Line Cinema', 'FilmEngine', 'Brookwell-McNamara Entertainment', 'ChickFlick Productions']",['United States of America'],103.0,2,Raise Your Voice,6.0,221.0,2004.0,Tue,Aug,"['Hilary Duff', 'Oliver James', 'David Keith', 'Johnny Lewis', 'Rita Wilson', 'Dana Davis', 'Lauren C. Mayhew', 'Kat Dennings', 'Jason Ritter', 'Rebecca De Mornay', 'John Corbett', 'James Avery']",12,13,Sean McNamara
8220,,25000000.0,"['Thriller', 'Action', 'Comedy', 'Crime']",,en,7.745017,"['Twentieth Century Fox Film Corporation', 'Robert Simonds Productions', 'EuropaCorp']","['France', 'United States of America']",97.0,3,Taxi,4.8,245.0,2004.0,Wed,Oct,"['Queen Latifah', 'Jimmy Fallon', 'Gisele Bündchen', 'Henry Simmons', 'Jennifer Esposito', 'Ann-Margret', 'Christian Kane', 'Ana Cristina Oliveira', 'Patton Oswalt', 'Ingrid Vandebosch', 'Magali Amadei', 'Boris McGiver', 'Adrian Martinez', 'Joe Lisi', 'GQ', 'Bryna Weiss', 'John Krasinski', 'Jeff Gordon']",18,93,Tim Story
8222,,7000.0,"['Science Fiction', 'Drama', 'Thriller']",http://www.primermovie.com,en,7.15307,['Thinkfilm'],['United States of America'],77.0,1,Primer,6.9,671.0,2004.0,Fri,Oct,"['Shane Carruth', 'David Sullivan', 'Casey Gooden', 'Anand Upadhyaya', 'Carrie Crawford', 'Jay Butler', 'John Carruth', 'Juan Tapia', 'Ashley Warren', 'Samantha Thomson', 'Chip Carruth', 'Delaney Price', 'Jack Pyland', 'Keith Bradshaw', 'Ashok Upadhyaya', 'Brandon Blagg', 'Jon Cook', 'David Joyner', 'Eric De Soualhat']",19,6,Shane Carruth
8224,,50000000.0,"['Drama', 'Romance', 'Comedy']",http://www.miramax.com/shallwedance/,en,9.082538000000001,['Miramax Films'],['United States of America'],107.0,1,Shall We Dance?,5.9,308.0,2004.0,Fri,Oct,"['Richard Gere', 'Jennifer Lopez', 'Susan Sarandon', 'Lisa Ann Walter', 'Stanley Tucci', 'Anita Gillette', 'Bobby Cannavale', 'Omar Benson Miller', 'Tamara Hope', 'Stark Sands', 'Richard Jenkins', 'Nick Cannon', 'Sarah Lafleur', 'Onalee Ames', 'Diana Salvatore', 'Daphne Korol', 'David Sparrow', 'Katya Virshilas']",18,13,Peter Chelsom
8225,,32000000.0,"['Music', 'Adventure', 'Animation', 'Action', 'Comedy']",http://www.teamamerica.com,en,11.428941,"['Paramount Pictures', 'Scott Rudin Productions']","['Germany', 'United States of America']",98.0,4,Team America: World Police,6.6,667.0,2004.0,Sun,Oct,"['Trey Parker', 'Matt Stone', 'Kristen Miller', 'Masasa Moyo', 'Daran Norris', 'Maurice LaMarche']",6,28,Trey Parker
8235,,780000.0,['Action'],,en,2.096666,"['New World Pictures', 'Harbor Productions', 'Shaw Brothers', 'Cross Country']","['United States of America', 'Hong Kong']",93.0,2,Cannonball,5.7,20.0,1976.0,Tue,Jul,"['David Carradine', 'Bill McKinney', 'Veronica Hamel', 'Gerrit Graham', 'Robert Carradine', 'Belinda Balaski', 'Judy Canova', 'Archie Hahn', 'Carl Gottlieb', 'Mary Woronov', 'Diane Lee Hart', 'James Keach', 'Dick Miller', 'Louisa Moritz', 'Patrick Wright', 'John Alderman', 'Allan Arkush', 'Paul Bartel', 'Roger Corman', 'Joe Dante', 'Jonathan Kaplan', 'Aron Kincaid', 'Read Morgan', 'Mary-Robin Redd', 'Martin Scorsese', 'Don Simpson', 'Sylvester Stallone', 'Glynn Rubin', 'Stanley Bennett Clay', 'David Arkin', 'John Herzfeld', 'Deirdre Ardell', 'Gretchen Ardell', 'Gary Austin', 'Wendy Bartel', 'Linda Civitello', 'Jim Connors', 'Peter Cornberg', 'Miller Drake', 'Michael Finnell', 'Samuel W. Gelfman', 'Paul Glickler', 'David N. Gottlieb', 'Lea Gould', 'Glenn Johnson', 'Saul Krugman', 'James Lashly', 'Joseph McBride', 'Todd McCarthy', 'Keith Michl', 'George Wagner', 'Joe Wong']",52,13,Paul Bartel
8245,,30000000.0,['Drama'],http://www.universalstudiosentertainment.com/friday-night-lights/,en,13.041943,"['Universal Studios', 'Imagine Entertainment', 'Friday Night Lights LLC', 'MDBF Filmgesellschaft mbH & Company KG']",['United States of America'],118.0,2,Friday Night Lights,7.0,154.0,2004.0,Fri,Oct,"['Billy Bob Thornton', 'Lucas Black', 'Garrett Hedlund', 'Derek Luke', 'Amber Heard', 'Jay Hernandez', 'Lee Thompson Young', 'Tim McGraw', 'Stephen Bishop', 'Grover Coulson', 'Connie Britton', 'Connie Cooper', 'Kasey Stevens', 'Ryanne Duzich', 'Morgan Farris', 'Katherine Willis', 'Ken Farmer']",17,49,Peter Berg
8246,,218.0,"['Documentary', 'Drama']",,en,1.620207,[],['United States of America'],91.0,1,Tarnation,7.5,22.0,2003.0,Sun,Oct,"['Renee Leblanc', 'Adolph Davis', 'Jonathan Caouette', 'Rosemary Davis', 'David Sanin Paz']",5,9,Jonathan Caouette
8254,,45000000.0,"['Comedy', 'Romance']",,en,8.698971,"['DreamWorks SKG', 'LivePlanet', 'Tall Trees Productions']",['United States of America'],91.0,1,Surviving Christmas,5.1,107.0,2004.0,Tue,Sep,"['Ben Affleck', 'James Gandolfini', 'Christina Applegate', ""Catherine O'Hara"", 'Josh Zuckerman', 'Bill Macy', 'Jennifer Morrison', 'Udo Kier', 'David Selby', 'Stephanie Faracy', 'Stephen Root', 'Sy Richardson', 'Tangie Ambrose', ""John 'B.J.' Bryant"", 'Peter Jason']",15,5,Mike Mitchell
8255,"{'id': 1974, 'name': 'The Grudge Collection', 'poster_path': '/dohOSIYDEK42stdfKo0pQfrve0h.jpg', 'backdrop_path': '/nRfDTqIuaVLu2aB0qFuSmw8btp0.jpg'}",10000000.0,"['Horror', 'Mystery', 'Thriller']",,en,9.740827000000001,"['Ghost House Pictures', 'Vertigo Entertainment', 'Senator International', 'Colombia Pictures', 'Fellah Pictures']","['Japan', 'United States of America']",92.0,2,The Grudge,5.8,889.0,2004.0,Fri,Oct,"['Sarah Michelle Gellar', 'Jason Behr', 'Clea DuVall', 'Bill Pullman', 'William Mapother', 'KaDee Strickland', 'Grace Zabriskie', 'Rosa Blasi', 'Ted Raimi', 'Takako Fuji', 'Ryo Ishibashi', 'Yoko Maki', 'Yuya Ozeki', 'Takashi Matsuyama', 'Hiroshi Matsunaga']",15,73,Takashi Shimizu
8256,,60000000.0,['Comedy'],,en,10.411608,"['Paramount Pictures', 'Patalex Productions']","['United Kingdom', 'United States of America']",103.0,1,Alfie,5.5,255.0,2004.0,Fri,Oct,"['Jude Law', 'Marisa Tomei', 'Omar Epps', 'Jane Krakowski', 'Renée Taylor', 'Jeff Harding', 'Sienna Miller', 'Nia Long', 'Susan Sarandon', 'Kevin Rahm', 'Max Morris', 'Gedde Watanabe', 'Tara Summers', 'Sam Vincenti', 'Jo Yang', 'Claudette Mink', 'Katherine LaNasa']",17,18,Charles Shyer
8257,,16000000.0,"['Comedy', 'Drama', 'Romance']",http://www.foxsearchlight.com/sideways/,en,12.646517999999999,"['Fox Searchlight Pictures', 'Michael London Productions', 'Sideways Productions Inc.']",['United States of America'],126.0,2,Sideways,6.9,484.0,2004.0,Fri,Oct,"['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh', 'Marylouise Burke', 'Jessica Hecht', 'Missy Doty', 'Alysia Reiner', 'Shake Tukhmanyan', 'Shaun Duke', 'Robert Covarrubias', 'Patrick Gallagher', 'Stephanie Faracy', 'Joe Marinelli', 'M.C. Gainey', 'Peter Dennis', 'Lacey Rae', 'Natalie Carter']",18,28,Alexander Payne
8258,,5000000.0,"['Thriller', 'Drama']",,en,10.737565,"['Filmax Entertainment', 'Castelao Producciones', 'Canal+ España', 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'ICF']","['United States of America', 'Spain']",101.0,1,The Machinist,7.3,1280.0,2004.0,Mon,Feb,"['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón', 'John Sharian', 'Michael Ironside', 'Lawrence Gilliard Jr.', 'Craig Stevenson', 'Reg E. Cathey', 'Anna Massey', 'Matthew Romero Moore', 'James DePaul', 'Robert Long', 'Philip Ettington']",13,10,Brad Anderson
8265,"{'id': 656, 'name': 'Saw Collection', 'poster_path': '/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg', 'backdrop_path': '/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg'}",1200000.0,"['Horror', 'Mystery', 'Crime']",,en,23.508433,"['Lions Gate Films', 'Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.']",['United States of America'],103.0,1,Saw,7.2,2255.0,2004.0,Fri,Oct,"['Cary Elwes', 'Danny Glover', 'Monica Potter', 'Michael Emerson', 'Ken Leung', 'Tobin Bell', 'Leigh Whannell', 'Dina Meyer', 'Mike Butters', 'Paul Gutrecht', 'Benito Martinez', 'Shawnee Smith', 'Makenzie Vega Norfolk', 'Ned Bellamy', 'Alexandra Bokyun Chun', 'Avner Garbi', 'Hans Raith']",17,67,James Wan
8266,,40000000.0,"['Drama', 'Music']",,en,10.603762,"['Universal Pictures', 'Bristol Bay Productions', 'Baldwin Entertainment Group', 'Anvil Films']",['United States of America'],152.0,1,Ray,7.2,481.0,2004.0,Fri,Oct,"['Jamie Foxx', 'Kerry Washington', 'Regina King', 'Harry Lennix', 'Clifton Powell', 'Bokeem Woodbine', 'Sharon Warren', 'C.J. Sanders', 'Curtis Armstrong', 'Richard Schiff', 'Larenz Tate', 'Terrence Howard', 'David Krumholtz', 'Wendell Pierce', 'Aunjanue Ellis', 'Chris Thomas King', 'Thomas Jefferson Byrd', 'Rick Gomez', 'Denise Dowse', 'Warwick Davis', 'Patrick Bauchau', 'Robert Wisdom', 'Kurt Fuller', 'Jedda Jones']",24,36,Taylor Hackford
8269,"{'id': 468222, 'name': 'The Incredibles Collection', 'poster_path': '/p5E9owiVpQqAoSEl1VpcC4i5z8Q.jpg', 'backdrop_path': '/9eDW2dVhnzPS2HvaRdK2OlAGaLq.jpg'}",92000000.0,"['Action', 'Adventure', 'Animation', 'Family']",http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,en,22.220214000000002,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],115.0,2,The Incredibles,7.4,5290.0,2004.0,Fri,Nov,"['Craig T. Nelson', 'Holly Hunter', 'Samuel L. Jackson', 'Jason Lee', 'Dominique Louis', 'Teddy Newton', 'Eli Fucile', 'Maeve Andrews', 'Spencer Fox', 'Sarah Vowell', 'Elizabeth Peña', 'Brad Bird', 'Jean Sincere', 'Wallace Shawn', 'Lou Romano', 'Wayne Canney', 'Michael Bird', 'John Ratzenberger', 'Kimberly Adair Clark', 'Bud Luckey', 'Pete Docter', 'Andrew Stanton', ""Bret 'Brook' Parker"", 'Mark Andrews', 'Nicholas Bird', 'Louis Gonzales', 'Elizabeth Greenberg', 'Ollie Johnston', 'Brad Lewis', 'Ted Mathot', 'Jazzie Mahannah', 'Bob Peterson', 'Jeff Pidgeon', 'Joe Ranft', 'Lori Richardson', 'A.J. Riebli III', 'Katherine Ringgold', 'Stephen Schaffer', 'Bob Scott', 'Peter Sohn', 'Frank Thomas', 'Pamela Gaye Walker', 'Patrick Walker', 'Deirdre Warin']",44,85,Brad Bird
8273,,165000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy']",,en,14.275360000000001,"['Golden Mean', 'Playtone', 'ImageMovers']",['United States of America'],100.0,1,The Polar Express,6.4,1524.0,2004.0,Wed,Nov,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye', 'Peter Scolari', 'Eddie Deezen', 'Leslie Zemeckis', 'Steven Tyler', 'Julene Renee', 'Chris Coppola', 'Charles Fleischer']",10,147,Robert Zemeckis
8275,"{'id': 10455, 'name': ""Child's Play Collection"", 'poster_path': '/50aqbDvbOtdlZrje6Qk4ZvKM7dM.jpg', 'backdrop_path': '/AAhYXBVIEl6WgQnzfBsauTIC25.jpg'}",12000000.0,"['Drama', 'Horror', 'Comedy']",,en,15.216315,['Rogue Pictures'],"['Romania', 'United States of America']",87.0,1,Seed of Chucky,4.9,302.0,2004.0,Thu,Nov,"['Brad Dourif', 'Jennifer Tilly', 'Billy Boyd', 'Redman', 'Hannah Spearritt', 'John Waters', 'Steve West', 'Rebecca Santos', 'Keith-Lee Castle', 'Jason Flemyng', 'Nicholas Rowe', 'Stephanie Chambers', 'Simon James Morgan', 'Bethany Simons-Danville']",14,9,Don Mancini
8276,,60000000.0,"['Action', 'Comedy', 'Crime', 'Drama']",http://www.afterthesunset.com/,en,11.945666000000001,"['New Line Cinema', 'Contrafilm', 'Firm Films']",['United States of America'],97.0,1,After the Sunset,6.0,227.0,2004.0,Fri,Nov,"['Pierce Brosnan', 'Salma Hayek', 'Woody Harrelson', 'Troy Garity', 'Russell Hornsby', 'Rex Linn', 'Michael Bowen', 'Mark Moses', 'Chris Penn', 'Obba Babatundé', 'Gianni Russo', 'Don Cheadle', 'Naomie Harris', 'Andrew Fiscella', 'Karl Malone', ""Shaquille O'Neal"", 'Gary Payton', 'Mykelti Williamson', 'Alan Dale', 'Robert Curtis Brown', 'Jeff Garlin', 'Kate Walsh', 'Tom McGowan', 'Rachael Harris', 'Lisa Thornhill', 'Joel McKinnon Miller', 'Shakara Ledard', 'Audrey Quock', 'Gillian Vigman', 'David Reivers', 'Kamal Marayati', 'Noémie Lenoir', 'Omahyra Mota', 'Oluchi Onweagba', 'Tony Ledard']",35,23,Brett Ratner
8277,"{'id': 8936, 'name': 'Bridget Jones Collection', 'poster_path': '/fB3BE3TL85Wh7dxNJf226IYQCp.jpg', 'backdrop_path': '/jiS4x140miaEH524CAFTvuxrcZ1.jpg'}",50000000.0,"['Comedy', 'Romance']",,en,7.78817,"['Miramax Films', 'Universal Pictures', 'Studio Canal', 'Working Title Films', 'Atlantic Television', 'Little Bird']","['France', 'Germany', 'Ireland', 'United Kingdom', 'United States of America']",108.0,3,Bridget Jones: The Edge of Reason,6.1,775.0,2004.0,Wed,Nov,"['Renée Zellweger', 'Hugh Grant', 'Colin Firth', 'Jim Broadbent', 'Gemma Jones', 'Celia Imrie', 'James Faulkner', 'Jacinda Barrett', 'Sally Phillips', 'Shirley Henderson', 'James Callis', 'Neil Pearson', 'Donald Douglas', 'Charmian May', 'Jeremy Paxman', 'Ian McNeice', 'Paul Nicholls', 'Wolf Kahler', 'Jessica Hynes', 'Catherine Russell', 'Ting Ting Hu', 'Jason Watkins', 'Vee Vimolmal', 'Pui Fan Lee', 'Dominic McHale', 'Shirley Dixon', 'Rosalind Halstead', 'Luis Soto', 'Tom Brooke', 'Alba Fleming Furlan', 'Lucy Robinson', 'David Verrey', 'Mark Tandy', ""Stephanie O'Rourke"", 'Flaminia Cinque', 'Trevor Fox', 'Alex Jennings', 'Michelle Lee', 'Melissa Ashworth', 'Neil Dudgeon', 'Sam Hazeldine', 'Oliver Chris', 'Hon Ping Tang']",43,86,Beeban Kidron
8278,,25000000.0,['Drama'],,en,15.529604,"['Miramax Films', 'Film Colony']","['United Kingdom', 'United States of America']",106.0,1,Finding Neverland,7.2,1269.0,2004.0,Sun,Oct,"['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Dustin Hoffman', 'Freddie Highmore', 'Radha Mitchell', 'Kate Maberly', 'Joe Prospero', 'Nick Roud', 'Luke Spill', 'Eileen Essell', 'Ian Hart', 'Kelly Macdonald', 'Tim Potter', 'Toby Jones', 'Angus Barnett', 'Mackenzie Crook', 'Rosie Ede', 'Tobias Menzies', 'Jimmy Gardner']",20,13,Marc Forster
8279,,7000000.0,"['Drama', 'Romance']",,hi,3.319516,['Yash Raj Films'],['India'],192.0,1,Veer-Zaara,7.5,67.0,2004.0,Fri,Nov,"['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji', 'Amitabh Bachchan', 'Hema Malini', 'Divya Dutta', 'Anupam Kher', 'Kirron Kher', 'Boman Irani', 'Manoj Bajpayee', 'Zohra Sehgal', 'Akhilendra Mishra', 'Tom Alter']",13,15,Yash Chopra
8280,"{'id': 52984, 'name': 'National Treasure Collection', 'poster_path': '/z5EIRaI8XS0brelYwDFEVlxcpzM.jpg', 'backdrop_path': '/a0GLVfaDSf5GNZKK5H4FgGCD2VW.jpg'}",100000000.0,"['Adventure', 'Action', 'Thriller', 'Mystery']",,en,18.932203,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Junction Entertainment']",['United States of America'],131.0,3,National Treasure,6.4,1974.0,2004.0,Fri,Nov,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean', 'Jon Voight', 'Harvey Keitel', 'Christopher Plummer', 'David Dayan Fisher', 'Stewart Finlay-McLennan', 'Oleg Taktarov', 'Stephen A. Pope', 'Annie Parisse', 'Mark Pellegrino', 'Armando Riesco', 'Erik King', 'Don McManus', 'Ron Canada', 'Hunter Gomez', 'Deborah Yates', 'Arabella Field', 'Sharon Wilkins', 'Alexandra Balahoutis', 'Dior Raye', 'Yves Michel-Beneche', 'Jason Earles', 'Terrence Currier', 'Rod McLachlan', 'Elizabeth Greenberg', 'Jody Halse', 'Liam Noble', 'Joshua Bitton', 'Michael Russo', 'Fern D. Baguidy Jr.', 'Thomas Q. Morris', 'Antony Alda', 'John Travis', 'Heidi Albertsen', 'Adriana Alveario']",38,125,Jon Turteltaub
8281,,5000000.0,"['Crime', 'Drama', 'Romance', 'Thriller']",http://www.lamalaeducacion.com,es,7.66414,"['Televisión Española TVE', 'Canal+ España', 'El Deseo S.A.']",['Spain'],106.0,1,Bad Education,7.1,223.0,2004.0,Fri,Mar,"['Gael García Bernal', 'Fele Martínez', 'Daniel Giménez Cacho', 'Lluís Homar', 'Francisco Maestre', 'Francisco Boira', 'Nacho Pérez', 'Raúl García Forneiro', 'Javier Cámara', 'Alberto Ferreiro', 'Leonor Watling', 'Petra Martínez', 'Roberto Hoyas', 'Agustín Almodóvar', 'Pedro Almodóvar', 'Sara Montiel', 'Pau Poch', 'Juan Fernández', 'Sandra', 'Luis Martín Gil']",20,12,Pedro Almodóvar
8282,"{'id': 275402, 'name': 'SpongeBob Collection', 'poster_path': '/zv4VJSaq39RNAshQOHtUANdZmAG.jpg', 'backdrop_path': '/uDbMvHRX0LMUxmsMyOOrPeLYHO5.jpg'}",30000000.0,"['Animation', 'Comedy', 'Family']",,en,11.213712,"['Paramount Pictures', 'Nickelodeon Movies', 'United Plankton Pictures']",['United States of America'],87.0,1,The SpongeBob SquarePants Movie,6.7,593.0,2004.0,Sun,Nov,"['Tom Kenny', 'Clancy Brown', 'Rodger Bumpass', 'Bill Fagerbakke', 'Carolyn Lawrence', 'Jeffrey Tambor', 'Scarlett Johansson', 'Alec Baldwin', 'David Hasselhoff', 'Mr. Lawrence']",10,31,Stephen Hillenburg
8285,,155000000.0,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",,en,13.498641000000001,"['France 3 Cinéma', 'Intermedia Films', 'Pathé Renn Productions', 'Egmond Film & Television', 'Warner Bros.', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'WR Universal Group']","['France', 'Germany', 'Italy', 'Netherlands', 'United Kingdom', 'United States of America']",175.0,1,Alexander,5.6,957.0,2004.0,Sun,Nov,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer', 'Jared Leto', 'Jonathan Rhys Meyers', 'Anthony Hopkins', 'Jessie Kamm', 'Christopher Plummer', 'Connor Paolo', 'Patrick Carroll', 'Peter Williamson', 'Morgan Christopher Ferris', 'Robert Earley', 'Aleczander Gordon', 'John Kavanagh', 'Gary Stretch', 'Rosario Dawson', 'Féodor Atkine', 'Toby Kebbell', ""Fiona O'Shaughnessy"", 'Laird Macintosh', 'Francisco Bosch', 'Neil Jackson', 'Garrett Lombard', 'Chris Aberdein', 'Rory McCann', 'Raz Degan', 'Joseph Morgan', 'David Bedella', 'Brian Blessed', 'Marie Meyer', 'Nick Dunning', 'Elliot Cowan', 'Ian Beattie', 'Denis Conway', 'Michael Dixon', 'Tim Pigott-Smith', 'Erol Sander', 'Stéphane Ferrara', 'Tadhg Murphy', 'Annelise Hesme', 'Tsouli Mohammed', 'Rab Affleck', 'Michelle Lukes', 'Gillian Grueber', 'Anjali Mehra', 'Benny Maslov', 'Monica Zamora', 'Monica Perego', 'Tania Matos', 'Marta Barahona']",51,167,Oliver Stone
8289,,27000000.0,"['Drama', 'Romance']",,en,10.860952000000001,['Columbia Pictures'],['United States of America'],104.0,1,Closer,6.7,845.0,2004.0,Wed,Dec,"['Julia Roberts', 'Jude Law', 'Natalie Portman', 'Clive Owen', 'Colin Stinton', 'Nick Hobbs', 'Steve Benham', 'Elizabeth Bower', 'Ray Donn', 'Daniel Dresner', 'Rrenford Junior Fagan', 'Antony Gabriel', 'Michael Haley', 'Selena Mars', 'Steve Morphew', 'Peter Rnic', 'Robert Stone', 'Jacqui-Lee Pryce']",18,44,Mike Nichols
